Week,Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
4,UTEP,Texas,LOSS,17,Road,0,0,0,0,0
4,Notre Dame,Texas A&M,LOSS,1,Home,0,0,0,0,0
4,Western Michigan,Illinois,LOSS,38,Road,0,0,0,0,0
4,South Carolina,Vanderbilt,LOSS,24,Home,0,0,0,0,0
4,Clemson,Georgia Tech,LOSS,3,Road,0,0,0,0,0
4,Temple,Oklahoma,LOSS,39,Home,0,0,0,0,0
4,Arkansas State,Iowa State,LOSS,8,Home,0,0,0,0,0
4,Arkansas,Ole Miss,LOSS,6,Road,0,0,0,0,0
4,Wisconsin,Alabama,LOSS,24,Road,0,0,0,0,0
4,Wyoming,Utah,LOSS,25,Home,0,0,0,0,0
4,Oregon State,Texas Tech,LOSS,31,Road,0,0,0,0,0
4,Central Michigan,Michigan,LOSS,60,Road,0,0,0,0,0
4,South Alabama,Auburn,LOSS,16,Road,0,0,0,0,0
4,Louisiana,Missouri,LOSS,42,Road,0,0,0,0,0
4,Troy,Memphis,LOSS,21,Home,0,0,0,0,0
4,Kent State,Buffalo,LOSS,3,Home,0,0,0,0,0
4,Washington State,North Texas,LOSS,49,Road,0,0,0,0,0
4,Missouri State,SMU,LOSS,18,Home,0,0,0,0,0
4,Pittsburgh,West Virginia,LOSS,7,Road,0,0,0,0,0
4,Liberty,Bowling Green,LOSS,10,Road,0,0,0,0,0
4,Nevada,Middle Tennessee,LOSS,1,Home,0,0,0,0,0
4,Purdue,USC,LOSS,16,Home,0,0,0,0,0
4,Virginia Tech,Old Dominion,LOSS,19,Home,0,0,0,0,0
4,Jacksonville State,Georgia Southern,LOSS,7,Road,0,0,0,0,0
4,App State,Southern Miss,LOSS,16,Road,0,0,0,0,0
4,Eastern Michigan,Kentucky,LOSS,25,Road,0,0,0,0,0
4,Massachusetts,Iowa,LOSS,40,Road,0,0,0,0,0
4,New Mexico State,Louisiana Tech,LOSS,35,Road,0,0,0,0,0
4,Coastal Carolina,East Carolina,LOSS,38,Home,0,0,0,0,0
4,Duke,Tulane,LOSS,7,Road,0,0,0,0,0
4,Tulsa,Navy,LOSS,19,Home,0,0,0,0,0
4,Florida Atlantic,Florida International,LOSS,10,Road,0,0,0,0,0
4,Akron,UAB,LOSS,3,Road,0,0,0,0,0
4,Air Force,Utah State,LOSS,19,Road,0,0,0,0,0
4,Minnesota,California,LOSS,13,Road,0,0,0,0,0
4,Boston College,Stanford,LOSS,10,Road,0,0,0,0,0
4,Texas State,Arizona State,LOSS,19,Road,0,0,0,0,0
